2014-07-30 09:11:20 Debug: Notice (8): Undefined variable: shopingcart in [E:\xampp\htdocs\freewebmobile.mobi\app\views\eshop0306\addshopingcart.ctp, line 38]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 11]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\comment_controller.php, line 3324]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 16]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 18]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 11]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 16]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 18]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 11]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 16]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 18]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 11]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 16]
2014-08-02 12:50:18 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 18]
2014-08-02 12:50:19 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 11]
2014-08-02 12:50:19 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 16]
2014-08-02 12:50:19 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 18]
2014-08-02 12:50:20 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 11]
2014-08-02 12:50:20 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 16]
2014-08-02 12:50:20 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 18]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 11]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\comment_controller.php, line 3324]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 16]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\layouts\themeshop\home.ctp, line 18]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 11]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 16]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\header.ctp, line 18]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 11]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 16]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\menu.ctp, line 18]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 11]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 16]
2014-08-02 12:50:25 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\left.ctp, line 18]
